10,0,436, 1134, 639.0, 0.01195824106295476, 0.44968310232071784, 0.004580438568236614, 7009.031525199637, 31, 13740.0, 7691.830146330586, 604.4005440984123, 3, 3, 1
32,1,446, 1043, 494.0, 0.01051040459515292, 0.4077544528217178, 0.022666581308535414, 5799.974782350179, 24, 19074.1, 14243.521814846214, 543.6605586563703, 13, 20, 0
32,3,605, 1453, 728.0, 0.007952493021728423, 0.4158701812420827, 0.005315567371413625, 8585.336083683673, 31, 28612.9, 6782.629246096236, 757.304776941223, 4, 5, 1
49,2,892, 2344, 1369.0, 0.005898547004675555, 0.44960330489874034, 0.0020179590047634624, 16506.017735818543, 33, 46886.5, 27248.497500779744, 1230.6018009099146, 4, 5, 1
49,1,743, 2002, 1220.0, 0.00726275425988471, 0.462524353617354, 0.020774829419532393, 16907.831762203677, 18, 21850.9, 6503.9110917969965, 1037.1903351444287, 3, 2, 1
49,3,664, 1748, 1009.0, 0.007941267331770521, 0.43504184486865255, 0.005422084477682773, 11805.751462826545, 26, 23655.6, 10321.306992818303, 919.108437162561, 3, 1, 0
50,0,284, 729, 415.0, 0.01814064599611805, 0.43288341158059485, 0.023141346706960893, 4314.368136678637, 26, 6644.8, 1916.3216744586489, 391.8650898179296, 2, 1, 1
16,2,465, 1276, 805.0, 0.011827956989247311, 0.4698338698338707, 0.007519361914596392, 9377.46482439512, 21, 13913.7, 5861.655637275189, 670.5811596876636, 3, 3, 1
16,1,457, 1228, 747.0, 0.011785481208491688, 0.452565353440628, 0.005500572297642551, 8220.544485516726, 24, 15058.5, 4705.86929801498, 649.972612913924, 1, 0, 1
51,5,288, 749, 455.0, 0.018123306233062332, 0.46573798500881886, 0.020950512588940456, 4712.908422185309, 22, 8206.0, 4238.971832885894, 397.66495645717936, 1, 0, 1
51,11,165, 400, 221.0, 0.029563932002956393, 0.47652236652236657, 0.026137817127683156, 2242.964600858513, 21, 6753.2, 4328.430195810024, 211.58618611588696, 6, 6, 1
51,7,230, 585, 348.0, 0.02221378393772546, 0.4775610138653621, 0.02187471673509632, 3750.906111790879, 20, 6115.5, 2017.1983665470284, 309.2627769351146, 1, 0, 1
51,1,199, 490, 291.0, 0.02487183391706005, 0.48334566048133953, 0.015970891185323646, 3078.3809917331014, 21, 6546.1, 3376.884938815653, 254.81863663981449, 6, 7, 0
51,10,195, 475, 278.0, 0.025112344699973567, 0.4986805786805787, 0.020257316891781, 2961.816543199395, 21, 5918.8, 1846.9979859220205, 247.09706258366924, 7, 10, 1
51,9,314, 798, 482.0, 0.016238985775625242, 0.4751256881830139, 0.018367637371635985, 5146.2556358375905, 28, 14031.5, 8518.808159009099, 416.35933004978017, 1, 0, 1
51,6,244, 621, 383.0, 0.020947176684881604, 0.49277553048044903, 0.011427272632883985, 4031.077040158341, 24, 6939.9, 3800.445512041976, 324.8424553167186, 1, 0, 1
51,2,154, 381, 225.0, 0.03234020881079704, 0.490945634452128, 0.02979636755185642, 2291.779352621181, 16, 4577.5, 2253.180163679771, 200.74064168474948, 1, 0, 1
51,8,152, 380, 219.0, 0.033112582781456956, 0.44793233082706757, 0.014223588973462807, 2228.1525025033316, 22, 7674.6, 5362.171000630248, 201.99785931804377, 2, 0, 0
51,4,232, 582, 351.0, 0.021719659650694133, 0.4991234101147899, 0.016954088027873623, 3801.8968793550516, 20, 6475.8, 2490.8433832740266, 305.0746688402927, 1, 0, 1
41,3,4, 5, 2.0, 0.8333333333333334, 0.8333333333333333, 2.0, 14.533609285639939, 2, 11.1, 7.955501241279522, 3.465735902799726, 2, 1, 1
24,5,220, 570, 356.0, 0.023661270236612703, 0.5030286316411641, 0.010659887057440847, 5364.226941519456, 18, 6438.1, 3658.426285986913, 295.1892868588162, 1, 0, 1
24,7,274, 675, 372.0, 0.01804764578487206, 0.43888019928165956, 0.014571667830262492, 3889.658606438046, 27, 8172.2, 3596.742798699957, 355.6271258575279, 5, 7, 1
24,1,283, 705, 438.0, 0.0176678445229682, 0.5143239027003214, 0.005359923643186259, 5277.62981803373, 30, 11391.5, 3253.414859805002, 360.71330134911403, 3, 2, 1
24,6,233, 574, 337.0, 0.021237235459523458, 0.476430531795339, 0.003842777727565771, 3550.5231520574735, 33, 8227.5, 4532.576028044096, 297.9864326459706, 4, 5, 1
24,8,188, 445, 232.0, 0.025315735578564116, 0.42342536305302264, 0.019833868862965776, 2367.821337140302, 23, 7243.5, 4635.718051176107, 234.43463172744742, 6, 8, 1
24,3,261, 543, 271.0, 0.016003536693191867, 0.45717639108443703, 0.001056480508040736, 2715.321612192202, 46, 22461.2, 6383.995704885773, 263.42493521923024, 2, 1, 1
24,4,189, 403, 197.0, 0.022683778002926938, 0.44575917909251267, 0.002523918259803029, 1980.7484769440018, 36, 10091.0, 4137.606167822162, 201.5569577135897, 1, 0, 1
40,5,317, 786, 387.0, 0.015693008026194943, 0.4023534124480498, 0.01092226844204083, 4230.852982967147, 23, 6183.5, 1831.5057875966431, 424.2369269007798, 7, 7, 0
40,1,337, 835, 406.0, 0.014748480994771796, 0.38775168122349146, 0.02530000419212759, 4464.813956462608, 22, 9470.1, 3226.303316490872, 451.70207743891405, 19, 17, 0
40,2,553, 1497, 917.0, 0.00980816101894803, 0.4565256021856393, 0.009635776699251503, 9980.445786508002, 31, 12788.1, 2550.6408390833863, 795.6837903617553, 10, 19, 1
40,3,546, 1420, 840.0, 0.009543972846725141, 0.4626347197775779, 0.012669768253907735, 9269.845363752569, 32, 21746.8, 9174.993491005866, 746.5079894253762, 1, 0, 1
