"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
49	"CUM"	"BRUNSWICK"	3955	2038			291	6284	"49 BRUNSWICK"
50	"CUM"	"BRUNSWICK"	4476				1038	5514	"50 BRUNSWICK"
51	"CUM"	"BRUNSWICK"	846				248	1094	"51 BRUNSWICK"
51	"CUM"	"HARPSWELL"	2755				728	3483	"51 HARPSWELL"
51	"SAG"	"WEST BATH"	1000				257	1257	"51 WEST BATH"
52	"SAG"	"BATH"	2983	1659			181	4823	"52 BATH"
53	"LIN"	"DRESDEN"	342	713			34	1089	"53 DRESDEN"
53	"SAG"	"ARROWSIC"	246	96			9	351	"53 ARROWSIC"
53	"SAG"	"GEORGETOWN"	415	334			20	769	"53 GEORGETOWN"
53	"SAG"	"PHIPPSBURG"	521	892			27	1440	"53 PHIPPSBURG"
53	"SAG"	"RICHMOND"	18	59			1	78	"53 RICHMOND"
53	"SAG"	"WOOLWICH"	761	1211			51	2023	"53 WOOLWICH"
54	"SAG"	"TOPSHAM"	3102	2836			167	6105	"54 TOPSHAM"
55	"SAG"	"BOWDOIN"	829	890			45	1764	"55 BOWDOIN"
55	"SAG"	"BOWDOINHAM"	1054	796			35	1885	"55 BOWDOINHAM"
55	"SAG"	"RICHMOND"	1024	803			34	1861	"55 RICHMOND"
56	"AND"	"LISBON"	1978	2731			237	4946	"56 LISBON"
57	"AND"	"GREENE"	574	1934			89	2597	"57 GREENE"
57	"AND"	"SABATTUS"	1147	1583			120	2850	"57 SABATTUS"
58	"AND"	"LEWISTON"	2446	2336			259	5041	"58 LEWISTON"
59	"AND"	"LEWISTON"	2848	2065			297	5210	"59 LEWISTON"
60	"AND"	"LEWISTON"	2399	960			275	3634	"60 LEWISTON"
61	"AND"	"LEWISTON"	1967	1200			205	3372	"61 LEWISTON"
62	"AND"	"AUBURN"	1893	1206			188	3287	"62 AUBURN"
63	"AND"	"AUBURN"	1849	3031			201	5081	"63 AUBURN"
64	"AND"	"AUBURN"	2045	1442			131	3618	"64 AUBURN"
64	"AND"	"MINOT"	613	1011			59	1683	"64 MINOT"
65	"AND"	"POLAND"	971	804			68	1843	"65 POLAND"
65	"CUM"	"NEW GLOUCESTER"	1314	1985			65	3364	"65 NEW GLOUCESTER"
66	"AND"	"POLAND"	645	734			62	1441	"66 POLAND"
66	"CUM"	"CASCO"	838	801			81	1720	"66 CASCO"
66	"CUM"	"RAYMOND"	1145	995			61	2201	"66 RAYMOND"
67	"CUM"	"CASCO"	157	252			26	435	"67 CASCO"
67	"CUM"	"FRYE ISLAND"	25	50			3	78	"67 FRYE ISLAND"
67	"CUM"	"GRAY"	1421	2655			143	4219	"67 GRAY"
67	"CUM"	"RAYMOND"	250	404			43	697	"67 RAYMOND"
68	"CUM"	"BALDWIN"	353	514			69	936	"68 BALDWIN"
68	"CUM"	"NAPLES"	1139	1106			88	2333	"68 NAPLES"
68	"CUM"	"SEBAGO"	524	547			61	1132	"68 SEBAGO"
68	"YOR"	"CORNISH"	385	394			57	836	"68 CORNISH"
68	"YOR"	"PARSONSFIELD"	150	159			24	333	"68 PARSONSFIELD"
69	"CUM"	"BRIDGTON"		1649	1233	3	142	3027	"69 BRIDGTON"
69	"CUM"	"HARRISON"		551	912	0	34	1497	"69 HARRISON"
69	"OXF"	"DENMARK"		398	306	0	48	752	"69 DENMARK"
70	"OXF"	"BROWNFIELD"	347	490			41	878	"70 BROWNFIELD"
70	"OXF"	"FRYEBURG"	823	931			79	1833	"70 FRYEBURG"
70	"OXF"	"HIRAM"	342	486			29	857	"70 HIRAM"
70	"OXF"	"LOVELL"	298	326			34	658	"70 LOVELL"
70	"OXF"	"PORTER"	310	488			24	822	"70 PORTER"
71	"OXF"	"NORWAY"	1125	1455			113	2693	"71 NORWAY"
71	"OXF"	"SWEDEN"	122	120			14	256	"71 SWEDEN"
71	"OXF"	"WATERFORD"	349	555			43	947	"71 WATERFORD"
71	"OXF"	"WEST PARIS"	385	579			51	1015	"71 WEST PARIS"
72	"AND"	"MECHANIC FALLS"	763	741			82	1586	"72 MECHANIC FALLS"
72	"OXF"	"OTISFIELD"	327	702			65	1094	"72 OTISFIELD"
72	"OXF"	"OXFORD"	469	1653			108	2230	"72 OXFORD"
73	"OXF"	"BUCKFIELD"	518	544			50	1112	"73 BUCKFIELD"
73	"OXF"	"HEBRON"	247	457			49	753	"73 HEBRON"
73	"OXF"	"PARIS"	712	1936			104	2752	"73 PARIS"
74	"AND"	"LIVERMORE"	329	349			25	703	"74 LIVERMORE"
74	"AND"	"LIVERMORE FALLS"	717	719			50	1486	"74 LIVERMORE FALLS"
74	"FRA"	"JAY"	1313	1232			55	2600	"74 JAY"
75	"AND"	"LEEDS"	582	677			40	1299	"75 LEEDS"
75	"AND"	"LIVERMORE"	188	434			14	636	"75 LIVERMORE"
75	"AND"	"TURNER"	895	2427			61	3383	"75 TURNER"
76	"KEN"	"BELGRADE"	637	1365			47	2049	"76 BELGRADE"
76	"KEN"	"FAYETTE"	368	388			33	789	"76 FAYETTE"
76	"KEN"	"MOUNT VERNON"	463	562			39	1064	"76 MOUNT VERNON"
76	"KEN"	"ROME"	257	345			20	622	"76 ROME"
76	"KEN"	"VIENNA"	184	186			26	396	"76 VIENNA"
76	"KEN"	"WAYNE"	465	332			18	815	"76 WAYNE"
77	"KEN"	"OAKLAND"	876	1629			62	2567	"77 OAKLAND"
77	"KEN"	"SIDNEY"	1101	1500			65	2666	"77 SIDNEY"
78	"KEN"	"BENTON"	182	158			13	353	"78 BENTON"
78	"KEN"	"WINSLOW"	2206	2088			111	4405	"78 WINSLOW"
79	"KEN"	"ALBION"	342	780			53	1175	"79 ALBION"
