			Guerrette, Timothy C. 	Jackson, Troy Dale 	BLANK	TOTAL VOTES CAST	
			Caribou	Allagash			
			Republican	Democrat			
			Caterina, Jean-Marie 	Volk, Amy F. 	BLANK	TOTAL VOTES CAST	
			Scarborough	Scarborough			
			Democrat	Republican			
30	CUM	GORHAM	3950	5636	361	9947	
30	CUM	SCARBOROUGH	4675	6244	298	11217	
30	YOR	BUXTON	1264	2710	144	4118	
30		STATE UOCAVA	71	31	9	111	
			9960	14621	812	25393	
							
			Chenette, Justin M. 	Sevigny, Timothy N. 	BLANK	TOTAL VOTES CAST	
			Saco	Saco			
			Democrat	Republican			
31	YOR	BUXTON	342	395	43	780	
31	YOR	HOLLIS	1160	1358	122	2640	
31	YOR	LIMINGTON	805	1167	122	2094	
31	YOR	OLD ORCHARD BEACH	3321	2055	223	5599	
31	YOR	SACO	6659	4046	306	11011	
31		STATE UOCAVA	45	22	4	71	
			12332	9043	820	22195	
							
			Deschambault, Susan A. 	Stone, Matthew William 	BLANK	TOTAL VOTES CAST	
			Biddeford	Biddeford			
			Democrat	Republican			
32	YOR	ALFRED	887	882	104	1873	
32	YOR	ARUNDEL	1282	1099	155	2536	
32	YOR	BIDDEFORD	6560	3319	434	10313	
32	YOR	DAYTON	582	612	76	1270	
32	YOR	KENNEBUNKPORT	1285	1082	135	2502	
32	YOR	LYMAN	1216	1235	166	2617	
32		STATE UOCAVA	68	20	9	97	
			11880	8249	1079	21208	
							
			Boland, Andrea M. 	Woodsome, David 	BLANK	TOTAL VOTES CAST	
			Sanford	Waterboro			
			Democrat	Republican			
33	YOR	CORNISH	272	529	35	836	
33	YOR	LIMERICK	449	1169	54	1672	
33	YOR	NEWFIELD	244	599	29	872	
33	YOR	PARSONSFIELD	304	678	45	1027	
33	YOR	SANFORD	5185	4698	479	10362	
33	YOR	SHAPLEIGH	501	1009	58	1568	
33	YOR	WATERBORO	938	2968	94	4000	
33		STATE UOCAVA	29	22	5	56	
			7922	11672	799	20393	
							
			Collins, Ronald F. 	Kilbourn, Jonathan 	BLANK	TOTAL VOTES CAST	
			Wells	Kennebunk			
			Republican	Democrat			
34	YOR	ACTON	874	519	104	1497	
34	YOR	BERWICK	1595	1065	152	2812	
34	YOR	KENNEBUNK	3067	4223	360	7650	
34	YOR	LEBANON	2041	978	179	3198	
34	YOR	NORTH BERWICK	1660	1094	143	2897	
34	YOR	WELLS	3897	2636	260	6793	
34		STATE UOCAVA	30	69	8	107	
			13164	10584	1206	24954	
							
			Hill, Dawn 	Short, Theodor G. 	BLANK	TOTAL VOTES CAST	
			York	South Berwick			
			Democrat	Republican			
35	YOR	BERWICK	457	658	78	1193	
35	YOR	ELIOT	2150	2022	181	4353	
35	YOR	KITTERY	3517	1950	281	5748	
35	YOR	OGUNQUIT	594	280	47	921	
35	YOR	SOUTH BERWICK	2147	1969	149	4265	
35	YOR	YORK	5634	3059	335	9028	
35		STATE UOCAVA	110	26	17	153	
			14609	9964	1088	25661	
