			Guerrette, Timothy C. 	Jackson, Troy Dale 	BLANK	TOTAL VOTES CAST	
			Caribou	Allagash			
			Republican	Democrat			
18	OXF	WOODSTOCK	438	330	28	796	
18		STATE UOCAVA	17	41	3	61	
			11603	9040	742	21385	
							
			Chisari, Joseph 	Hamper, James M. 	BLANK	TOTAL VOTES CAST	
			Fryeburg	Oxford			
			Democrat	Republican			
19	CUM	BRIDGTON	1180	1633	214	3027	
19	CUM	HARRISON	476	930	91	1497	
19	CUM	NAPLES	832	1328	173	2333	
19	CUM	SEBAGO	446	600	86	1132	
19	OXF	BROWNFIELD	390	430	58	878	
19	OXF	DENMARK	290	401	61	752	
19	OXF	FRYEBURG	814	906	113	1833	
19	OXF	HIRAM	357	434	66	857	
19	OXF	NORWAY	700	1866	127	2693	
19	OXF	OTISFIELD	280	764	50	1094	
19	OXF	OXFORD	397	1744	89	2230	
19	OXF	PARIS	730	1885	137	2752	
19	OXF	PORTER	310	443	69	822	
19		STATE UOCAVA	70	32	1	103	
			7272	13396	1335	22003	
							
			Brakey, Eric L. 	Sampson, Kimberly A. 	BLANK	TOTAL VOTES CAST	
			Auburn	Auburn			
			Republican	Democrat			
20	AND	AUBURN	6789	4821	376	11986	
20	AND	MECHANIC FALLS	1058	468	60	1586	
20	AND	MINOT	1136	490	57	1683	
20	AND	POLAND	2024	1147	113	3284	
20	CUM	NEW GLOUCESTER	2019	1238	107	3364	
20		STATE UOCAVA	21	50	5	76	
			13047	8214	718	21979	
							
			Libby, Nathan L. 	BLANK	TOTAL VOTES CAST		
			Lewiston				
			Democrat				
21	AND	LEWISTON	13994	3263	17257		
21		STATE UOCAVA	69	11	80		
			14063	3274	17337		
							
			Fochtmann, Richard N. 	Mason, Garrett Paul 	BLANK	TOTAL VOTES CAST	
			Leeds	Lisbon			
			Democrat	Republican			
22	AND	DURHAM	878	1597	136	2611	
22	AND	GREENE	836	1642	119	2597	
22	AND	LEEDS	562	682	55	1299	
22	AND	LISBON	1269	3463	214	4946	
22	AND	SABATTUS	812	1903	135	2850	
22	AND	TURNER	1030	2221	132	3383	
22	AND	WALES	237	604	50	891	
22	KEN	LITCHFIELD	696	1280	109	2085	
22	KEN	WAYNE	426	356	33	815	
22		STATE UOCAVA	31	26	4	61	
			6777	13774	987	21538	
							
			Lebida, Guy M. 	Vitelli, Eloise A. 	BLANK	TOTAL VOTES CAST	
			Bowdoin	Arrowsic			
			Republican	Democrat			
23	LIN	DRESDEN	510	524	55	1089	
23	SAG	ARROWSIC	92	253	6	351	
23	SAG	BATH	1698	2974	151	4823	
23	SAG	BOWDOIN	1165	545	54	1764	
23	SAG	BOWDOINHAM	904	916	65	1885	
23	SAG	GEORGETOWN	295	455	19	769	
23	SAG	PHIPPSBURG	658	734	48	1440	
23	SAG	RICHMOND	1040	815	84	1939	
23	SAG	TOPSHAM	2766	3106	233	6105	
23	SAG	WEST BATH	570	640	47	1257	
23	SAG	WOOLWICH	983	966	74	2023	
23		STATE UOCAVA	31	110	5	146	
			10712	12038	841	23591	
							
			Carson, Everett Brownie 	Coffin, Tristam W. 	BLANK	TOTAL VOTES CAST	
			Harpswell	Brunswick			
			Democrat	Republican			
24	CUM	BRUNSWICK	7574	4774	544	12892	
24	CUM	FREEPORT	3237	2119	259	5615	
24	CUM	HARPSWELL	1992	1395	96	3483	
24	CUM	NORTH YARMOUTH	1313	1225	118	2656	
24	CUM	POWNAL	539	507	42	1088	
24		STATE UOCAVA	178	36	16	230	
			14833	10056	1075		
							
			Breen, Catherine E. 	Ladd, C. Barton 	BLANK	TOTAL VOTES CAST	
			Falmouth	Falmouth			
			Democrat	Republican			
25	CUM	CHEBEAGUE ISLAND	232	88	9	329	
25	CUM	CUMBERLAND	3035	2275	195	5505	
25	CUM	FALMOUTH	4764	3186	229	8179	
25	CUM	GRAY	2165	2495	271	4931	
25	CUM	LONG ISLAND	120	48	8	176	
25	CUM	WESTBROOK	1513	1140	143	2796	
25	CUM	YARMOUTH	3562	1992	171	5725	
25		STATE UOCAVA	155	23	9	187	
			15546	11247	1035	27828	
							
			Diamond, G. William 	McDonald, Ryan R. 	BLANK	TOTAL VOTES CAST	
			Windham	Windham			
			Democrat	Republican			
26	CUM	BALDWIN	461	420	55	936	
26	CUM	CASCO	1180	887	88	2155	
26	CUM	FRYE ISLAND	37	37	4	78	
26	CUM	RAYMOND	1731	1077	90	2898	
26	CUM	STANDISH	3063	2273	219	5555	
26	CUM	WINDHAM	6550	3317	273	10140	
26		STATE UOCAVA	59	15	3	77	
			13081	8026	732	21839	
							
			Baker, Seth M. 	Chipman, Benjamin M. 	Pontius, Adam M. 	BLANK	TOTAL VOTES CAST
			Portland	Portland	Portland		
			Green Independent	Democrat	Republican		
27	CUM	PORTLAND	3673	14794	3542	1246	23255
27		STATE UOCAVA	39	135	20	19	213
			3712	14929	3562	1265	23468
							
			Dion, Mark N. 	Usher, Karen Elaine 	BLANK	TOTAL VOTES CAST	
			Portland	Westbrook			
			Democrat	Republican			
28	CUM	PORTLAND	11155	3415	752	15322	
28	CUM	WESTBROOK	4132	2732	360	7224	
28		STATE UOCAVA	88	14	5	107	
			15375	6161	1117	22653	
							
			MacAuslan, Martha 	Millett, Rebecca J. 	BLANK	TOTAL VOTES CAST	
			Cape Elizabeth	Cape Elizabeth			
			Independent	Democrat			
29	CUM	CAPE ELIZABETH	2456	3836	306	6598	
29	CUM	SCARBOROUGH	731	838	208	1777	
29	CUM	SOUTH PORTLAND	4977	8907	1221	15105	
29		STATE UOCAVA	32	103	20	155	
			8196	13684	1755	23635	
							
